Location,Year,Site,lat,lon,Depth,Patch,Stony_coral_cover
Moorea,2005,1,-17.474,-149.836,10,nd,26.8
Moorea,2005,1,-17.474,-149.836,10,nd,47.3
Moorea,2005,1,-17.474,-149.836,10,nd,48.5
Moorea,2005,1,-17.474,-149.836,10,nd,52.5
Moorea,2005,1,-17.474,-149.836,10,nd,33.3
Moorea,2005,1,-17.474,-149.836,10,nd,63.0
Moorea,2005,1,-17.474,-149.836,10,nd,29.9
Moorea,2005,1,-17.474,-149.836,10,nd,48.8
Moorea,2005,1,-17.474,-149.836,10,nd,50.0
Moorea,2005,1,-17.474,-149.836,10,nd,39.6
Moorea,2005,1,-17.474,-149.836,10,nd,40.4
Moorea,2005,1,-17.474,-149.836,10,nd,78.5
Moorea,2005,1,-17.474,-149.836,10,nd,92.8
Moorea,2005,1,-17.474,-149.836,10,nd,53.6
Moorea,2005,1,-17.474,-149.836,10,nd,50.9
Moorea,2005,1,-17.474,-149.836,10,nd,0.0
Moorea,2005,1,-17.474,-149.836,10,nd,41.0
Moorea,2005,1,-17.474,-149.836,10,nd,34.1
Moorea,2005,1,-17.474,-149.836,10,nd,46.1
Moorea,2005,1,-17.474,-149.836,10,nd,63.5
Moorea,2005,1,-17.474,-149.836,10,nd,45.2
Moorea,2005,1,-17.474,-149.836,10,nd,35.5
Moorea,2005,1,-17.474,-149.836,10,nd,24.2
Moorea,2005,1,-17.474,-149.836,10,nd,43.0
Moorea,2005,1,-17.474,-149.836,10,nd,66.3
Moorea,2005,1,-17.474,-149.836,10,nd,45.7
Moorea,2005,1,-17.474,-149.836,10,nd,57.5
Moorea,2005,1,-17.474,-149.836,10,nd,58.7
Moorea,2005,1,-17.474,-149.836,10,nd,49.1
Moorea,2005,1,-17.474,-149.836,10,nd,40.5
Moorea,2005,1,-17.474,-149.836,10,nd,31.0
Moorea,2005,1,-17.474,-149.836,10,nd,34.3
Moorea,2005,1,-17.474,-149.836,10,nd,40.1
Moorea,2005,1,-17.474,-149.836,10,nd,13.0
Moorea,2005,1,-17.474,-149.836,10,nd,40.5
Moorea,2005,1,-17.474,-149.836,10,nd,63.3
Moorea,2005,1,-17.474,-149.836,10,nd,67.5
Moorea,2005,2,-17.471,-149.808,10,nd,52.1
Moorea,2005,2,-17.471,-149.808,10,nd,45.5
Moorea,2005,2,-17.471,-149.808,10,nd,19.6
Moorea,2005,2,-17.471,-149.808,10,nd,48.6
Moorea,2005,2,-17.471,-149.808,10,nd,37.7
Moorea,2005,2,-17.471,-149.808,10,nd,64.7
Moorea,2005,2,-17.471,-149.808,10,nd,41.0
Moorea,2005,2,-17.471,-149.808,10,nd,46.9
Moorea,2005,2,-17.471,-149.808,10,nd,27.9
Moorea,2005,2,-17.471,-149.808,10,nd,43.9
Moorea,2005,2,-17.471,-149.808,10,nd,29.8
Moorea,2005,2,-17.471,-149.808,10,nd,22.2
Moorea,2005,2,-17.471,-149.808,10,nd,29.1
Moorea,2005,2,-17.471,-149.808,10,nd,31.0
Moorea,2005,2,-17.471,-149.808,10,nd,25.7
Moorea,2005,2,-17.471,-149.808,10,nd,28.0
Moorea,2005,2,-17.471,-149.808,10,nd,50.6
Moorea,2005,2,-17.471,-149.808,10,nd,33.1
Moorea,2005,2,-17.471,-149.808,10,nd,28.9
Moorea,2005,2,-17.471,-149.808,10,nd,36.2
Moorea,2005,2,-17.471,-149.808,10,nd,22.9
Moorea,2005,2,-17.471,-149.808,10,nd,20.5
Moorea,2005,2,-17.471,-149.808,10,nd,58.5
Moorea,2005,2,-17.471,-149.808,10,nd,52.1
Moorea,2005,2,-17.471,-149.808,10,nd,23.9
Moorea,2005,2,-17.471,-149.808,10,nd,30.6
Moorea,2005,2,-17.471,-149.808,10,nd,27.4
Moorea,2005,2,-17.471,-149.808,10,nd,32.7
Moorea,2005,2,-17.471,-149.808,10,nd,26.8
Moorea,2005,2,-17.471,-149.808,10,nd,26.5
Moorea,2005,2,-17.471,-149.808,10,nd,12.9
Moorea,2005,2,-17.471,-149.808,10,nd,11.8
Moorea,2005,2,-17.471,-149.808,10,nd,23.1
Moorea,2005,2,-17.471,-149.808,10,nd,21.8
Moorea,2005,2,-17.471,-149.808,10,nd,22.0
Moorea,2005,2,-17.471,-149.808,10,nd,30.9
Moorea,2005,2,-17.471,-149.808,10,nd,24.6
Moorea,2005,2,-17.471,-149.808,10,nd,43.5
Moorea,2005,2,-17.471,-149.808,10,nd,15.1
Moorea,2005,3,-17.514,-149.761,10,nd,29.8
Moorea,2005,3,-17.514,-149.761,10,nd,31.4
Moorea,2005,3,-17.514,-149.761,10,nd,28.5
Moorea,2005,3,-17.514,-149.761,10,nd,25.6
Moorea,2005,3,-17.514,-149.761,10,nd,17.4
Moorea,2005,3,-17.514,-149.761,10,nd,32.5
Moorea,2005,3,-17.514,-149.761,10,nd,47.3
Moorea,2005,3,-17.514,-149.761,10,nd,35.8
Moorea,2005,3,-17.514,-149.761,10,nd,20.1
Moorea,2005,3,-17.514,-149.761,10,nd,25.6
Moorea,2005,3,-17.514,-149.761,10,nd,25.1
Moorea,2005,3,-17.514,-149.761,10,nd,25.9
Moorea,2005,3,-17.514,-149.761,10,nd,65.3
Moorea,2005,3,-17.514,-149.761,10,nd,35.2
Moorea,2005,3,-17.514,-149.761,10,nd,61.7
Moorea,2005,3,-17.514,-149.761,10,nd,43.8
Moorea,2005,3,-17.514,-149.761,10,nd,52.7
Moorea,2005,3,-17.514,-149.761,10,nd,47.6
Moorea,2005,3,-17.514,-149.761,10,nd,33.3
Moorea,2005,3,-17.514,-149.761,10,nd,36.8
