Location,Habitat,lat,lon,Year,Month,Day,Temperature
Moorea,Back Reef,-17.481,-149.841,2005,January,1,nd
Moorea,Back Reef,-17.481,-149.841,2005,January,2,nd
Moorea,Back Reef,-17.481,-149.841,2005,January,3,nd
Moorea,Back Reef,-17.481,-149.841,2005,January,4,nd
Moorea,Back Reef,-17.481,-149.841,2005,January,5,nd
Moorea,Back Reef,-17.481,-149.841,2005,January,6,nd
Moorea,Back Reef,-17.481,-149.841,2005,January,7,nd
Moorea,Back Reef,-17.481,-149.841,2005,January,8,nd
Moorea,Back Reef,-17.481,-149.841,2005,January,9,nd
Moorea,Back Reef,-17.481,-149.841,2005,January,10,nd
Moorea,Back Reef,-17.481,-149.841,2005,January,11,nd
Moorea,Back Reef,-17.481,-149.841,2005,January,12,nd
Moorea,Back Reef,-17.481,-149.841,2005,January,13,nd
Moorea,Back Reef,-17.481,-149.841,2005,January,14,nd
Moorea,Back Reef,-17.481,-149.841,2005,January,15,nd
Moorea,Back Reef,-17.481,-149.841,2005,January,16,nd
Moorea,Back Reef,-17.481,-149.841,2005,January,17,nd
Moorea,Back Reef,-17.481,-149.841,2005,January,18,nd
Moorea,Back Reef,-17.481,-149.841,2005,January,19,nd
Moorea,Back Reef,-17.481,-149.841,2005,January,20,nd
Moorea,Back Reef,-17.481,-149.841,2005,January,21,nd
Moorea,Back Reef,-17.481,-149.841,2005,January,22,nd
Moorea,Back Reef,-17.481,-149.841,2005,January,23,nd
Moorea,Back Reef,-17.481,-149.841,2005,January,24,nd
Moorea,Back Reef,-17.481,-149.841,2005,January,25,nd
Moorea,Back Reef,-17.481,-149.841,2005,January,26,nd
Moorea,Back Reef,-17.481,-149.841,2005,January,27,nd
Moorea,Back Reef,-17.481,-149.841,2005,January,28,nd
Moorea,Back Reef,-17.481,-149.841,2005,January,29,nd
Moorea,Back Reef,-17.481,-149.841,2005,January,30,nd
Moorea,Back Reef,-17.481,-149.841,2005,January,31,nd
Moorea,Back Reef,-17.481,-149.841,2005,February,1,nd
Moorea,Back Reef,-17.481,-149.841,2005,Februrary,2,nd
Moorea,Back Reef,-17.481,-149.841,2005,Februrary,3,nd
Moorea,Back Reef,-17.481,-149.841,2005,Februrary,4,nd
Moorea,Back Reef,-17.481,-149.841,2005,Februrary,5,nd
Moorea,Back Reef,-17.481,-149.841,2005,Februrary,6,nd
Moorea,Back Reef,-17.481,-149.841,2005,Februrary,7,nd
Moorea,Back Reef,-17.481,-149.841,2005,Februrary,8,nd
Moorea,Back Reef,-17.481,-149.841,2005,Februrary,9,nd
Moorea,Back Reef,-17.481,-149.841,2005,Februrary,10,nd
Moorea,Back Reef,-17.481,-149.841,2005,Februrary,11,nd
Moorea,Back Reef,-17.481,-149.841,2005,Februrary,12,nd
Moorea,Back Reef,-17.481,-149.841,2005,Februrary,13,nd
Moorea,Back Reef,-17.481,-149.841,2005,Februrary,14,nd
Moorea,Back Reef,-17.481,-149.841,2005,Februrary,15,nd
